image,object,center_x,center_y,area,drone_lat,drone_lon,heading,object_lat,object_lon,north_offset_m,east_offset_m
22,7,2604.0,1232.0,1547091.0,55.4763806,10.3281277,359.0,55.476381482620454,10.32821692038947,0.0982528596643615,5.628902560283645
22,8,701.5,1232.0,1777363.5,55.4763806,10.3281277,359.0,55.47637974072687,10.328040839693445,-0.09565384729772122,-5.4800052415209555
28,0,2611.0,2424.5,2455.5,55.4761866,10.3283492,0.0,55.47612403952698,10.328439081502408,-6.9642,5.67064
28,1,2819.0,2292.0,5249.0,55.4761866,10.3283492,0.0,55.47613099069065,10.328458335212503,-6.1903999999999995,6.8853599999999995
28,2,2931.0,2285.0,5148.5,55.4761866,10.3283492,0.0,55.476131357921936,10.328468702594861,-6.14952,7.53944
28,3,3149.5,2182.0,23287.5,55.4761866,10.3283492,0.0,55.476136761468034,10.328488928247051,-5.548,8.815479999999999
28,4,3161.0,1747.5,2114.0,55.4761866,10.3283492,0.0,55.47615955603871,10.32848999275506,-3.0105199999999996,8.88264
28,5,3245.5,1529.0,4057.5,55.4761866,10.3283492,0.0,55.476171018901056,10.328497814574787,-1.73448,9.37612
28,6,3245.5,1356.5,2672.5,55.4761866,10.3283492,0.0,55.47618006852923,10.328497814574787,-0.72708,9.37612
29,0,2159.0,2431.5,2837.0,55.4761528,10.3283997,0.0,55.476089872295695,10.328447741668121,-7.0050799999999995,3.03096
29,1,1978.0,2422.5,2165.5,55.4761528,10.3283997,0.0,55.476090344450206,10.328430987252071,-6.95252,1.97392
29,2,1257.5,2278.0,112908.0,55.4761528,10.3283997,0.0,55.476097925153226,10.328364293568292,-6.108639999999999,-2.2338
29,3,2624.5,1604.0,4435.5,55.4761528,10.3283997,0.0,55.47613328428012,10.328490831064094,-2.1724799999999997,5.74948
29,4,2708.0,1476.0,2624.0,55.4761528,10.3283997,0.0,55.47613999936653,10.328498560311278,-1.42496,6.23712
29,5,3204.5,1447.5,6994.5,55.4761528,10.3283997,0.0,55.47614149452249,10.328544519248123,-1.2585199999999999,9.13668
29,6,3241.5,278.0,2050.0,55.4761528,10.3283997,0.0,55.47620284837841,10.328547944184,5.571359999999999,9.35276
